Delete.c &  58.3\% &  32.4\% &  100.0\%
DirectoryCache.c &  100.0\% &  70.6\% &  100.0\%
DirectoryManage.c &  76.7\% &  62.9\% &  80.8\%
DiskCache.c &  80.1\% &  76.6\% &  85.7\%
FileName.c &  89.1\% &  86.7\% &  100.0\%
FileSpace.c &  88.0\% &  79.0\% &  91.7\%
Flush.c &  86.6\% &  70.2\% &  100.0\%
Hash.c &  100.0\% &  100.0\% &  100.0\%
Info.c &  37.6\% &  30.4\% &  55.6\%
Init.c &  73.3\% &  51.1\% &  66.7\%
Misc.c &  87.2\% &  62.8\% &  94.1\%
Open.c &  85.4\% &  72.9\% &  100.0\%
OpenVolume.c &  84.6\% &  50.0\% &  100.0\%
ReadWrite.c &  87.3\% &  69.4\% &  100.0\%
UnicodeCollation.c &  47.4\% &  0.0\% &  71.4\%
